"","Total_CO2_capture","year","file_id","group"
"501",1.7990753,0.940864408929477,4,"6"
"502",1.8097486,0.960882800608828,4,"6"
"503",1.8203559,0.980901192288179,4,"6"
"504",1.8309412,1.00091958396753,4,"6"
"505",1.8413043,1.02093797564688,4,"6"
"506",1.8516014,1.04095636732623,4,"6"
"507",1.8618985,1.06097475900558,4,"6"
"508",1.8721274,1.08099315068493,4,"6"
"509",1.8823343,1.10101154236428,4,"6"
"510",1.892495,1.12102993404363,4,"6"
"511",1.9026579,1.14104832572298,4,"6"
"512",1.9126866,1.16106671740233,4,"6"
"513",1.9227593,1.18108510908168,4,"6"
"514",1.9327858,1.20110350076104,4,"6"
"515",1.94281472,1.22112189244039,4,"6"
"516",1.95273144,1.24114028411974,4,"6"
"517",1.96262616,1.26115867579909,4,"6"
"518",1.9725431,1.28117706747844,4,"6"
"519",1.98237204,1.30119545915779,4,"6"
"520",1.99217898,1.32121385083714,4,"6"
"521",2.00205214,1.34123224251649,4,"6"
"522",2.0119913,1.36125063419584,4,"6"
"523",2.02190648,1.38126902587519,4,"6"
"524",2.03175786,1.40128741755454,4,"6"
"525",2.04158746,1.42130580923389,4,"6"
"526",2.05139506,1.44132420091324,4,"6"
"527",2.06113688,1.46134259259259,4,"6"
"528",2.07092292,1.48136098427194,4,"6"
"529",2.08060116,1.50137937595129,4,"6"
"530",2.09027742,1.52139776763064,4,"6"
"531",2.0998901,1.54141615931,4,"6"
"532",2.109525,1.56143455098935,4,"6"
"533",2.11911612,1.5814529426687,4,"6"
"534",2.12864146,1.60147133434805,4,"6"
"535",2.138125,1.6214897260274,4,"6"
"536",2.14763076,1.64150811770675,4,"6"
"537",2.15709494,1.6615265093861,4,"6"
"538",2.16651534,1.68154490106545,4,"6"
"539",2.17586996,1.7015632927448,4,"6"
"540",2.18524922,1.72158168442415,4,"6"
"541",2.1945869,1.7416000761035,4,"6"
"542",2.2038566,1.76161846778285,4,"6"
"543",2.21315292,1.7816368594622,4,"6"
"544",2.22233946,1.80165525114155,4,"6"
"545",2.23159244,1.8216736428209,4,"6"
"546",2.24076204,1.84169203450025,4,"6"
"547",2.24995386,1.8617104261796,4,"6"
"548",2.25903612,1.88172881785895,4,"6"
"549",2.268145,1.90174720953831,4,"6"
"550",2.27718832,1.92176560121766,4,"6"
"551",2.28625606,1.94178399289701,4,"6"
"552",2.29525824,1.96180238457636,4,"6"
"553",2.30426504,1.98182077625571,4,"6"
"554",2.31318428,2.00183916793506,4,"6"
"555",2.32197636,2.02185755961441,4,"6"
"556",2.33072466,2.04187595129376,4,"6"
"557",2.3394316,2.06189434297311,4,"6"
"558",2.34807738,2.08191273465246,4,"6"
"559",2.3567236,2.10193112633181,4,"6"
"560",2.36530844,2.12194951801116,4,"6"
"561",2.37393772,2.14196790969051,4,"6"
"562",2.38248384,2.16198630136986,4,"6"
"563",2.3910546,2.18200469304921,4,"6"
"564",2.399562,2.20202308472856,4,"6"
"565",2.40805004,2.22204147640791,4,"6"
"566",2.41645272,2.24205986808727,4,"6"
"567",2.42488224,2.26207825976662,4,"6"
"568",2.4332924,2.28209665144597,4,"6"
"569",2.4416634,2.30211504312532,4,"6"
"570",2.45005904,2.32213343480467,4,"6"
"571",2.45839132,2.34215182648402,4,"6"
"572",2.46692644,2.36217021816337,4,"6"
"573",2.4753762,2.38218860984272,4,"6"
"574",2.4838748,2.40220700152207,4,"6"
"575",2.49228826,2.42222539320142,4,"6"
"576",2.50070018,2.44224378488077,4,"6"
"577",2.50909076,2.46226217656012,4,"6"
"578",2.51746022,2.48228056823947,4,"6"
"579",2.52583056,2.50229895991882,4,"6"
"580",2.53413556,2.52231735159817,4,"6"
"581",2.54244144,2.54233574327752,4,"6"
"582",2.55072598,2.56235413495687,4,"6"
"583",2.5589894,2.58237252663623,4,"6"
"584",2.5672317,2.60239091831558,4,"6"
"585",2.57549666,2.62240613901573,4,"6"
"586",2.5837405,2.64242453069508,4,"6"
"587",2.59189722,2.66244292237443,4,"6"
"588",2.60005482,2.68246131405378,4,"6"
"589",2.60821308,2.70247970573313,4,"6"
"590",2.61632822,2.72249809741248,4,"6"
"591",2.62442224,2.74251648909183,4,"6"
"592",2.63251714,2.76253488077118,4,"6"
"593",2.64059092,2.78255327245053,4,"6"
"594",2.64864336,2.80257166412988,4,"6"
"595",2.65669668,2.82259005580923,4,"6"
"596",2.66468488,2.84260844748858,4,"6"
"597",2.67273996,2.86262683916794,4,"6"
"598",2.68070792,2.88264523084729,4,"6"
"599",2.68863276,2.90266362252664,4,"6"
"600",2.69666848,2.92268201420599,4,"6"
"601",2.70457308,2.94270040588534,4,"6"
"602",2.71245656,2.96271879756469,4,"6"
"603",2.72036292,2.98273718924404,4,"6"
"604",2.72827016,3.00275558092339,4,"6"
"605",2.73598028,3.02277397260274,4,"6"
